front,back,formula,source,tags,analogy,key_insight,technical,connections,practical,extra
Why is data standardization necessary before applying PCA?,PCA is sensitive to scale - features with larger ranges dominate principal components without standardization,\\[z = \\frac{x - \\mu}{\\sigma}\\],Exam Q1a,PCA standardization preprocessing,,,,,Use StandardScaler in sklearn before PCA,
What is Principal Component Analysis (PCA)?,Dimensionality reduction technique that finds linear combinations of features with maximum variance,,ML Fundamentals,PCA dimensionality-reduction,"Like finding the best camera angles to photograph a 3D sculpture - you want views that capture the most detail with fewest shots. PCA finds the ""best angles"" (principal components) in your data space.

KEY INSIGHT: High-dimensional data often lies on lower-dimensional manifolds - PCA finds linear approximations of these manifolds. Essential for avoiding curse of dimensionality in high-dim spaces.",High-dimensional data often lies on lower-dimensional manifolds - PCA finds linear approximations of these manifolds. Essential for avoiding curse of dimensionality in high-dim spaces.,,"• Related to SVD (Singular Value Decomposition) and eigendecomposition
• Used before clustering (curse of dimensionality)
• Neural networks (feature extraction) and visualization",,
What is the covariance matrix formula in PCA?,Matrix representing relationships between features,\[Cov(X) = \frac{1}{n}X^TX\],TOPICS.md,PCA covariance-matrix formula,"Like a dance partner compatibility matrix - shows which dancers move in sync.

KEY INSIGHT: Covariance matrix is a ""correlation map"" showing how features move together:
• Diagonal elements = variance of each feature
• Off-diagonal elements = covariance between features

TECHNICAL NOTES:
• X must be mean-centered first!
• Formula assumes X is (n×p) with rows=samples, cols=features","Covariance matrix is a ""correlation map"" showing how features move together:
• Diagonal elements = variance of each feature
• Off-diagonal elements = covariance between features

TECHNICAL NOTES:
• X must be mean-centered first!
• Formula assumes X is (n×p) with rows=samples, cols=features","• X must be mean-centered first!
• Formula assumes X is (n×p) with rows=samples, cols=features","• Eigendecomposition of this matrix gives principal components
• Related to correlation matrix (normalized version)",Large covariances indicate redundant features - perfect candidates for dimensionality reduction.,
How are principal components calculated?,Linear combinations of original features using eigenvectors,\[PC = X \cdot v\],TOPICS.md,PCA principal-components,"Like rotating coordinate system to align with data's natural ""grain"" - imagine wood grain patterns. Eigenvectors are like finding the main axis of a football (not round!).",,"1. Mean-center data
2. Compute covariance matrix
3. Find eigenvalues/eigenvectors
4. Sort eigenvectors by eigenvalue (largest first)
5. Project data onto top-k eigenvectors

KEY PROPERTIES:
• Each PC is orthogonal (uncorrelated)
• First PC captures most variance
• Eigenvectors (v) are ""directions of maximum variance""",,"• Face recognition (eigenfaces)
• Genomics
• Finance portfolio analysis",
What does explained variance tell us in PCA?,Proportion of dataset variance captured by each principal component,,ML Fundamentals,PCA explained-variance,"Like budgeting information - ""How much of the story does each component tell?"" Imagine explaining a movie plot - first PC gives main storyline (most important), subsequent PCs add subplots and details.

DECISION RULES:
• Keep components until cumulative explained variance reaches 90-95%
• Kaiser criterion: keep components with eigenvalue > 1
• Scree plot: look for ""elbow"" where slope flattens dramatically

KEY INSIGHT: Related to eigenvalues (larger eigenvalue = more explained variance)",Related to eigenvalues (larger eigenvalue = more explained variance),,,Trade-off between information retention and dimensionality reduction.,
What is K-means clustering?,Partitioning algorithm that divides data into k clusters by minimizing within-cluster variance,,ML Fundamentals,clustering k-means,"Like organizing a messy room by creating k boxes and putting similar items together, then adjusting box positions until items are closest to their own box.",,,"• Related to EM algorithm (hard assignment version)
• Vector Quantization, Voronoi diagrams","Market segmentation, image compression, gene sequencing",
What is the K-means objective function?,Minimize within-cluster sum of squared distances,\[\min \sum_i \sum_{x \in C_i} ||x - \mu_i||^2\],TOPICS.md,k-means objective-function,,"""Make each point as close as possible to its cluster center"" - like minimizing total walking distance in a city with k meeting points.

ALTERNATIVE NAMES:
• Within-Cluster Sum of Squares (WCSS)
• Inertia
• Distortion

TECHNICAL NOTES:
• NP-hard problem! Lloyd's algorithm finds local optima
• Usually uses Euclidean distance, but can use Manhattan, cosine similarity","• NP-hard problem! Lloyd's algorithm finds local optima
• Usually uses Euclidean distance, but can use Manhattan, cosine similarity","• Related to variance decomposition - minimizing within-cluster variance
• Similar to expectation in EM algorithm",Elbow method plots WCSS vs k to find optimal number of clusters,
How do you update centroids in K-means?,Take the mean of all points assigned to each cluster,\[\mu_i = \frac{1}{|C_i|} \sum_{x \in C_i} x\],TOPICS.md,k-means centroid-update,"Like finding the ""center of mass"" or ""balance point"" of each group - if you put weights at each data point, where would you place the fulcrum?

MATHEMATICAL INSIGHT: Mean minimizes sum of squared distances - this is why K-means uses Euclidean distance.

ALGORITHM ROLE: This is the M-step (Maximization) in Lloyd's algorithm, alternates with E-step (assignment).",,,,,
How does initialization impact K-means results?,K-means converges to local optima dependent on initial centroids - different initializations yield different clusterings,,Exam Q2c,k-means initialization local-optima,,,,,Always use K-means++ (default in sklearn) and multiple runs,
What are the main limitations of K-means clustering?,"Assumes spherical clusters of similar size/density, requires pre-specifying k, sensitive to outliers and initialization",,Exam Q2d,k-means limitations assumptions,,,,,,"COMPREHENSIVE LIMITATIONS:

1. CLUSTER SHAPE: Only finds spherical/convex clusters
   • Fails on crescents, rings, elongated clusters
   • Solution: DBSCAN for arbitrary shapes

2. CLUSTER SIZE: Assumes similar sizes
   • Large cluster may be split, small clusters merged
   • Solution: Hierarchical clustering

3. CLUSTER DENSITY: Assumes similar densities
   • Dense cluster dominates sparse ones
   • Solution: DBSCAN or Mean Shift

4. FIXED K: Must specify number of clusters
   • No inherent way to determine optimal k
   • Solution: Elbow method, silhouette analysis

5. OUTLIER SENSITIVITY: Outliers affect centroid positions
   • Single outlier can create its own cluster
   • Solution: K-medoids, outlier removal

6. HIGH DIMENSIONS: Curse of dimensionality
   • Distances become meaningless
   • Solution: PCA before clustering

7. CATEGORICAL DATA: Requires numerical features
   • Can't handle categories directly
   • Solution: K-modes for categorical data"
